Company,Abbr,Model,Road No.,Date,,,
Wells Fargo Rail,WFRX,GP40-3,1161 & 62,Jun-69,,,
Wells Fargo Rail,WFRX,GP40-3,1164 & 1165,Jul-66,,,
Wells Fargo Rail,WFRX,GP40-3,1166 & 1167,Jan-67,,,
Wells Fargo Rail,WFRX,GP40-3,1168 & 1169,Dec-70,,,
Wells Fargo Rail,WFRX,GP40-3,1170 & 1171,Jan-71,,,
Wells Fargo Rail,WFRX,GP40-3,1172-1174,Apr-67,,,
Wells Fargo Rail,WFRX,GP40-3,1177-1179,Jun-71,,,
Wells Fargo Rail,WFRX,GP40-3,2268 & 2273,Jul-69,,,
Wells Fargo Rail,WFRX,GP40-3,"#1162, 1175 and 1176 sold to Herzog as 202, 206 and 207",,,,
Wells Fargo Rail,WFRX,GP50,2900-2913,May-80,,,
Wells Fargo Rail,WFRX,GP50,2915-2939,Jul-80,,,
Wells Fargo Rail,WFRX,GP50,2940-2942,Aug-80,,,
Wells Fargo Rail,WFRX,GP50,"2943, 44 & 47-49",Sep-80,,,
Wells Fargo Rail,WFRX,GP50,"(For GP50 lineage, see table at bottom)",,,,
Wells Fargo Rail,WFRX,SD40-2,3000,Jun-70,,,
Wells Fargo Rail,WFRX,SD40-2,3001 & 3002,May-70,,,
Wells Fargo Rail,WFRX,SD40-2,3003 & 3004,May-69,,,
Wells Fargo Rail,WFRX,SD40-2,3005 & 3006,Feb-70,,,
Wells Fargo Rail,WFRX,SD40-2,3007 & 3011,Sep-66,,,
Wells Fargo Rail,WFRX,SD40-2,3008 & 3016,Aug-70,,,
Wells Fargo Rail,WFRX,SD40-2,3009 & 3010,Apr-70,,,
Wells Fargo Rail,WFRX,SD40-2,3012 & 3014,Nov-70,,,
Wells Fargo Rail,WFRX,SD40-2,3013 & 3015,Apr-69,,,
Wells Fargo Rail,WFRX,SD40-2,3012 & 3014,Dec-70,,,
Wells Fargo Rail,WFRX,SD40-2,3017-18 & 3022-23,Jan-71,,,
Wells Fargo Rail,WFRX,SD40-2,"3019, 3024 & 3028-29",Feb-66,,,
Wells Fargo Rail,WFRX,SD40-2,3021,Mar-80,,,
Wells Fargo Rail,WFRX,SD40-2,3025,Mar-71,,,
Wells Fargo Rail,WFRX,SD40-2,3030-3032,Jan-71,,,
Wells Fargo Rail,WFRX,SD40-2,"3033, 35 & 37",Mar-66,,,
Wells Fargo Rail,WFRX,SD40-2,"3034, 38 & 45",Feb-66,,,
Wells Fargo Rail,WFRX,SD40-2,"3039, 40 & 41",May-67,,,
Wells Fargo Rail,WFRX,SD40-2,3043 & 3046,May-70,,,
Wells Fargo Rail,WFRX,SD40-2,"3042, 44 & 47",Feb-66,,,
Wells Fargo Rail,WFRX,SD40-2,3048 & 3049,Jul-75,,,
Wells Fargo Rail,WFRX,SD40-2,-3064,Jan-66,,,
Wells Fargo Rail,WFRX,SD40-2,3080,Jun-80,,,
Wells Fargo Rail,WFRX,GP38-2,5514,Aug-71,,,
Wells Fargo Rail,WFRX,GP38-2,5520,Sep-71,,,
Wells Fargo Rail,WFRX,GP38-2,5550,,,,
Wells Fargo Rail,WFRX,GP38-2,5551,Oct-69,,,
Wells Fargo Rail,WFRX,GP38-2,5554,Mar-70,,,
Wells Fargo Rail,WFRX,GP38-2,5560,,,,
Wells Fargo Rail,WFRX,GP38-2,5568,,,,
Wells Fargo Rail,WFRX,GP38-2,5569,Sep-69,,,
Wells Fargo Rail,WFRX,GP38-2,5570,,,,
Wells Fargo Rail,WFRX,GP38-2,5576,Oct-69,,,
Wells Fargo Rail,WFRX,GP38-2,5577,,,,
Wells Fargo Rail,WFRX,GP38-2,,,,,
Wells Fargo Rail,WFRX,GP38-2,WFRX 5581-5585,,,,
Wells Fargo Rail,WFRX,GP38-2,WFRX 5586,Oct-69,,,
Wells Fargo Rail,WFRX,GP38-2,5588-5590,,,,
Wells Fargo Rail,WFRX,SD40-2,7081,,,,
Wells Fargo Rail,WFRX,SD40-2,7207-25 & 27,Jun-80,,,
Wells Fargo Rail,WFRX,SD40-2,7236-7245,Jan-80,,,
Wells Fargo Rail,WFRX,SD40-2,7246-7262,Feb-80,,,
Wells Fargo Rail,WFRX,SD40-2,7263-7291,Mar-80,,,
Wells Fargo Rail,WFRX,SD40-2,7886,Apr-79,,,
Wells Fargo Rail,WFRX,SD40-2,7924-7940,Apr-80,,,
Wells Fargo Rail,WFRX,SD40-2,8090-8103,May-80,,,
Wells Fargo Rail,WFRX,SD40-2,8104-8136,Jun-80,,,
Wells Fargo Rail,WFRX,SD70MAC,"8858, 8859 & 8861-8868",,,,
Wells Fargo Rail,WFRX,SD70MAC,"8870, 8871, 8877, 8895 & 8898-99",,,,
Wells Fargo Rail,WFRX,SD70MAC,"8901, 8909, 8910, 8912, 8914, 8915, 8959-8966",,,,
Wells Fargo Rail,WFRX,SD40-2/SD40T-2,748 & 749,Sep-79,,,
Wells Fargo Rail,WFRX,SD40-2/SD40T-2,"753, 756, & 757",Sep-80,,,
Wells Fargo Rail,WFRX,SD40-2/SD40T-2,856,Feb-79,,,
Wells Fargo Rail,WFRX,B23-7,2000 - 2002,May-72,,,
Wells Fargo Rail,WFRX,SD40-2/SD40T-2,2866-2868,Jun-74,,,
Wells Fargo Rail,WFRX,SD40-2/SD40T-2,2870 & 2874,Apr-76,,,
Wells Fargo Rail,WFRX,SD40-2/SD40T-2,2872-2873,Mar-78,,,
Wells Fargo Rail,WFRX,SD40-2/SD40T-2,2875-76 & 2878,Feb-78,,,
Wells Fargo Rail,WFRX,SD40-2/SD40T-2,2879-2880,Jan-79,,,
Wells Fargo Rail,WFRX,SD40-2/SD40T-2,2897,Jan-77,,,
Wells Fargo Rail,WFRX,C30-7,3000 & 3001,Jan-72,,,
Wells Fargo Rail,WFRX,C30-7,3002,Oct-76,,,
Wells Fargo Rail,WFRX,C30-7,3003-3006,Aug-74,,,
Wells Fargo Rail,WFRX,C30-7,"3007, 08 & 10",Aug-74,,,
Wells Fargo Rail,WFRX,C30-7,3009,May-72,,,
Wells Fargo Rail,WFRX,AC4400CW,4000 - 4009,Mar-97,,,
Wells Fargo Rail,WFRX,C44-9W,4700-4999,1998,,,
Wells Fargo Rail,WFRX,SD60,"5958, 64-67 & 69",Sep-86,,,
Wells Fargo Rail,WFRX,SD60,5986-5989,Sep-86,,,
Wells Fargo Rail,WFRX,SD60,"5992, 93 & 98",,,,
Wells Fargo Rail,WFRX,SD40-3,6401 & 15,Mar-66,,,
Wells Fargo Rail,WFRX,SD40-3,"7313, 14 & 20",Jan-66,,,
Wells Fargo Rail,WFRX,SD40-3,"7325, 26, & 36",Apr-66,,,
Wells Fargo Rail,WFRX,B39-8,7401,Jan-84,,,
Wells Fargo Rail,WFRX,C40-8W,7600 series,,,,
Wells Fargo Rail,WFRX,C40-8W,7700 series,,,,
Wells Fargo Rail,WFRX,C40-8W,7800 series,,,,
Wells Fargo Rail,WFRX,C40-8W,7900 series,,,,
Wells Fargo Rail,WFRX,B39-8E,8000 & 8001,Mar-88,,,
Wells Fargo Rail,WFRX,B39-8E,,,,,
Wells Fargo Rail,WFRX,B40-8,8002,Dec-88,,,
Wells Fargo Rail,WFRX,C30-7,"8015, 17, 21 & 22",,,,
Wells Fargo Rail,WFRX,C30-7,"8025, 26 & 32",,,,
Wells Fargo Rail,WFRX,C30-7,"8036, 44, 46, 50 & 52",,,,
Wells Fargo Rail,WFRX,C30-7,8056 & 8057,Oct-78,,,
Wells Fargo Rail,WFRX,C30-7,8058-8060,Oct-78,,,
Wells Fargo Rail,WFRX,C30-7,"8066, 67, 69, 72 & 75-78",May-79,,,
Wells Fargo Rail,WFRX,C30-7,"8079, 84 & 87",May-79,,,
Wells Fargo Rail,WFRX,C30-7,"8089, 93, 95 & 96",May-79,,,
Wells Fargo Rail,WFRX,C30-7,8099-8122,May-80,,,
Wells Fargo Rail,WFRX,C30-7,8123-8152,,,,
Wells Fargo Rail,WFRX,SD40T-2,"8308-10, 12 & 13",Feb-78,,,
Wells Fargo Rail,WFRX,SD40T-2,8322,Jan-78,,,
Wells Fargo Rail,WFRX,SD40T-2,"8350, 52 & 55",Jun-74,,,
Wells Fargo Rail,WFRX,SD40T-2,"8359, 62 & 69",Mar-78,,,
Wells Fargo Rail,WFRX,SD40T-2,"8492, 96, & 97",Feb-78,,,
Wells Fargo Rail,WFRX,SD40T-2,"8528, 48, 56 & 60",Jan-79,,,
Wells Fargo Rail,WFRX,SD40T-2,8644,Jul-74,,,
Wells Fargo Rail,WFRX,SD40T-2,8649,Jan-78,,,
Wells Fargo Rail,WFRX,SD40T-2,8650 & 8652,Feb-78,,,
Wells Fargo Rail,WFRX,SD40T-2,8661,Feb-79,,,
Wells Fargo Rail,WFRX,SD40T-2,8663 & 8664,Jun-74,,,
Wells Fargo Rail,WFRX,SD40T-2,8670,Mar-78,,,
Wells Fargo Rail,WFRX,SD40T-2,8678 & 8679,Feb-78,,,
Wells Fargo Rail,WFRX,B40-8,9000-9006,,,,
Wells Fargo Rail,WFRX,B40-8,9007-90014,,,,
Wells Fargo Rail,WFRX,B40-8,9015-90024,,,,
Wells Fargo Rail,WFRX,B40-8,"9026, 29, 30, 31 & 34",,,,
Wells Fargo Rail,WFRX,B40-8,"9044, 45, 48, 49 & 50",,,,
Wells Fargo Rail,WFRX,B40-8,9051-9054,,,,
Wells Fargo Rail,WFRX,B40-8,"9055, 56 & 61",,,,
Wells Fargo Rail,WFRX,B40-8,"9062, 63 & 66",,,,
Wells Fargo Rail,WFRX,B40-8,"9068, 69, 73 & 74",,,,
Wells Fargo Rail,WFRX,C40-8,9078-9081,,,,
Wells Fargo Rail,WFRX,C40-8,9082 & 9083,,,,
Wells Fargo Rail,WFRX,C40-8,9084-9086,,,,
Wells Fargo Rail,WFRX,C40-8,9087-9091,,,,
Wells Fargo Rail,WFRX,C40-8,9092-9095,,,,
Wells Fargo Rail,WFRX,C40-8,9096-9100,,,,
Wells Fargo Rail,WFRX,C40-8,9101-9106,,,,
Wells Fargo Rail,WFRX,C40-8,9102-9106,,,,
Wells Fargo Rail,WFRX,C40-8,9107-9110,,,,
Wells Fargo Rail,WFRX,C40-8,9111-9113,,,,
Wells Fargo Rail,WFRX,C40-8,9114-9116,,,,
Wells Fargo Rail,WFRX,C40-8,9117-9119,,,,
Wells Fargo Rail,WFRX,C40-8,9120-9122,,,,
Wells Fargo Rail,WFRX,C40-8W,"9124, 29, 30 &35",,,,
Wells Fargo Rail,WFRX,C40-8W,9141-9144,,,,
Wells Fargo Rail,WFRX,C40-8W,9147-9151,,,,
Wells Fargo Rail,WFRX,C44-9W,"4781, 4791 & 4797",,,,
Wells Fargo Rail,WFRX,C44-9W,"4809, 4827 & 4852",,,,
