0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road No.,MPI Model,Serial No.,Date,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 244 MP21B 0107-01 5/08 GenSet,MP21B 0107-01 5/08 GenSet,0107-01 5/08 GenSet,5/08 GenSet,GenSet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP 501-503 MK5000C 3092-01 to 03 8/94 Rebuilt and sold to Utah Rwy 5001-5003,MK5000C 3092-01 to 03 8/94 Rebuilt and sold to Utah Rwy 5001-5003,3092-01 to 03 8/94 Rebuilt and sold to Utah Rwy 5001-5003,8/94 Rebuilt and sold to Utah Rwy 5001-5003,Rebuilt and sold to Utah Rwy 5001-5003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 1501 MP1500D 22069 7/56 Demonstrator; built from DRGW GP9 5932,MP1500D 22069 7/56 Demonstrator; built from DRGW GP9 5932,22069 7/56 Demonstrator; built from DRGW GP9 5932,7/56 Demonstrator; built from DRGW GP9 5932,Demonstrator; built from DRGW GP9 5932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPEX 1502 & 1503 MP1500D 21362, 16456 4/56, 4/52 Demonstrators; built from SP 1802 & C&NW 4207 < nee SP GP9 5664 & CRIP GP7 1309","MP1500D 21362, 16456 4/56, 4/52 Demonstrators; built from SP 1802 & C&NW 4207 < nee SP GP9 5664 & CRIP GP7 1309","21362, 16456 4/56, 4/52 Demonstrators; built from SP 1802 & C&NW 4207 < nee SP GP9 5664 & CRIP GP7 1309","4/56, 4/52 Demonstrators; built from SP 1802 & C&NW 4207 < nee SP GP9 5664 & CRIP GP7 1309",Demonstrators; built from SP 1802 & C&NW 4207 < nee SP GP9 5664 & CRIP GP7 1309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPEX 1504 & 1505 MP1500D 20759, 23865 12/55, 1/58 Demonstrators; built from CC&P GP10 8121 & IC GP10 8186 < nee IC GP9 9121 & 9365","MP1500D 20759, 23865 12/55, 1/58 Demonstrators; built from CC&P GP10 8121 & IC GP10 8186 < nee IC GP9 9121 & 9365","20759, 23865 12/55, 1/58 Demonstrators; built from CC&P GP10 8121 & IC GP10 8186 < nee IC GP9 9121 & 9365","12/55, 1/58 Demonstrators; built from CC&P GP10 8121 & IC GP10 8186 < nee IC GP9 9121 & 9365",Demonstrators; built from CC&P GP10 8121 & IC GP10 8186 < nee IC GP9 9121 & 9365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 1506 MP1500D -- -- Demonstrator,MP1500D -- -- Demonstrator,-- -- Demonstrator,-- Demonstrator,Demonstrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE 2001 & 2002 B23-7R 38397, 38403 7/89 ""Super Seven"" demonstrators (built in association with General Electric) from ex-WP U23B 2251 & 2257","B23-7R 38397, 38403 7/89 ""Super Seven"" demonstrators (built in association with General Electric) from ex-WP U23B 2251 & 2257","38397, 38403 7/89 ""Super Seven"" demonstrators (built in association with General Electric) from ex-WP U23B 2251 & 2257",7/89,"""Super Seven"" demonstrators (built in association with General Electric) from ex-WP U23B 2251 & 2257",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 2001 MP2000D 30180 8/98 Demonstrator; built on frame from SP 6668 < SP GP35 7771,MP2000D 30180 8/98 Demonstrator; built on frame from SP 6668 < SP GP35 7771,30180 8/98 Demonstrator; built on frame from SP 6668 < SP GP35 7771,8/98,Demonstrator; built on frame from SP 6668 < SP GP35 7771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 2002 MP2000D 2396-02 5/98 Demonstrator,MP2000D 2396-02 5/98 Demonstrator,2396-02 5/98 Demonstrator,5/98,Demonstrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 2003 MP2000D 1698-01 -- Demonstrator,MP2000D 1698-01 -- Demonstrator,1698-01 -- Demonstrator,--,Demonstrator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 2004 & 05 5 MP2000D -- Demonstrators,5 MP2000D -- Demonstrators,MP2000D -- Demonstrators,--,Demonstrators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GE 3000-3002 C30-7R 38214, 38215, 40961 2, 5, 7/89 ""Super Seven"" demonstrators (built in association with General Electric) from ex-Sou U33C 3811 & 3812 and UP U30C 2956","C30-7R 38214, 38215, 40961 2, 5, 7/89 ""Super Seven"" demonstrators (built in association with General Electric) from ex-Sou U33C 3811 & 3812 and UP U30C 2956","38214, 38215, 40961 2, 5, 7/89 ""Super Seven"" demonstrators (built in association with General Electric) from ex-Sou U33C 3811 & 3812 and UP U30C 2956","2, 5, 7/89","""Super Seven"" demonstrators (built in association with General Electric) from ex-Sou U33C 3811 & 3812 and UP U30C 2956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 5000 SD50-3 32557 10/99 Prototype; MKCo 5000 (built from ATSF SD45B 5501 with safety cab),SD50-3 32557 10/99 Prototype; MKCo 5000 (built from ATSF SD45B 5501 with safety cab),32557 10/99 Prototype; MKCo 5000 (built from ATSF SD45B 5501 with safety cab),10/99 Prototype; MKCo 5000 (built from ATSF SD45B 5501 with safety cab),Prototype; MKCo 5000 (built from ATSF SD45B 5501 with safety cab),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5001 TE50-4S -- 9/79 Prototype; ex-UP GP9 278 (EMD 19875, 9/54)","TE50-4S -- 9/79 Prototype; ex-UP GP9 278 (EMD 19875, 9/54)","-- 9/79 Prototype; ex-UP GP9 278 (EMD 19875, 9/54)","9/79 Prototype; ex-UP GP9 278 (EMD 19875, 9/54)","Prototype; ex-UP GP9 278 (EMD 19875, 9/54)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 6201 MP2000C 29842 1/65 Demonstrator; built on frame from SP 2958 < 6951 < nee SP SD35 4828,MP2000C 29842 1/65 Demonstrator; built on frame from SP 2958 < 6951 < nee SP SD35 4828,29842,1/65 Demonstrator; built on frame from SP 2958 < 6951 < nee SP SD35 4828,Demonstrator; built on frame from SP 2958 < 6951 < nee SP SD35 4828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road No.,Model (& Bldr),Serial No.,Date,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPEX 243 SW1m (EMD) 1401 10/41 Shop switcher, Boise; ex-EJ&E SW1 243","SW1m (EMD) 1401 10/41 Shop switcher, Boise; ex-EJ&E SW1 243","1401 10/41 Shop switcher, Boise; ex-EJ&E SW1 243","10/41 Shop switcher, Boise; ex-EJ&E SW1 243","Shop switcher, Boise; ex-EJ&E SW1 243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 319 S6 (Alco) 82294 11/56 Ex-South Buffalo 43,S6 (Alco) 82294 11/56 Ex-South Buffalo 43,82294 11/56 Ex-South Buffalo 43,11/56 Ex-South Buffalo 43,Ex-South Buffalo 43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 628 & 636 SD40 (EMD) 35840, 38363 3/71 Ex-KCS 628 & 636","SD40 (EMD) 35840, 38363 3/71 Ex-KCS 628 & 636","35840, 38363 3/71 Ex-KCS 628 & 636",3/71 Ex-KCS 628 & 636,Ex-KCS 628 & 636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPEX 750-752 SD40u (EMD) --, 36751, 34969 --, 7/70, 7/69 Leased to EJ&E ex-Utah Ry < MKCo 750-752 < nee --, C&O 7522 & WM 7447","SD40u (EMD) --, 36751, 34969 --, 7/70, 7/69 Leased to EJ&E ex-Utah Ry < MKCo 750-752 < nee --, C&O 7522 & WM 7447","--, 36751, 34969 --, 7/70, 7/69 Leased to EJ&E ex-Utah Ry < MKCo 750-752 < nee --, C&O 7522 & WM 7447","--, 7/70, 7/69 Leased to EJ&E ex-Utah Ry < MKCo 750-752 < nee --, C&O 7522 & WM 7447","Leased to EJ&E ex-Utah Ry < MKCo 750-752 < nee --, C&O 7522 & WM 7447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPI 1513 & 1514 SW1500 (EMD) 34497, 35286 12/68, 11/69 Ex-NS/2323 & 2333 < nee Southern 2323 & 2333","SW1500 (EMD) 34497, 35286 12/68, 11/69 Ex-NS/2323 & 2333 < nee Southern 2323 & 2333","34497, 35286 12/68, 11/69 Ex-NS/2323 & 2333 < nee Southern 2323 & 2333","12/68, 11/69 Ex-NS/2323 & 2333 < nee Southern 2323 & 2333",Ex-NS/2323 & 2333 < nee Southern 2323 & 2333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPI 2001(1st) GP38M-4 (EMD) 28875 2/64 Rebuilt from SP GP35E 6312 < SP GP35 7448,GP38M-4 (EMD) 28875 2/64 Rebuilt from SP GP35E 6312 < SP GP35 7448,28875 2/64 Rebuilt from SP GP35E 6312 < SP GP35 7448,2/64 Rebuilt from SP GP35E 6312 < SP GP35 7448,Rebuilt from SP GP35E 6312 < SP GP35 7448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 4301 GP40 (EMD) 34852 X/69 Ex-GATX 3729 < nee B&O 3729,GP40 (EMD) 34852 X/69 Ex-GATX 3729 < nee B&O 3729,34852 X/69 Ex-GATX 3729 < nee B&O 3729,X/69 Ex-GATX 3729 < nee B&O 3729,Ex-GATX 3729 < nee B&O 3729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 4302 GP40 (EMD) 36170 2/70 Ex-HLCX < ICG 3074 < nee IC 3074,GP40 (EMD) 36170 2/70 Ex-HLCX < ICG 3074 < nee IC 3074,36170 2/70 Ex-HLCX < ICG 3074 < nee IC 3074,2/70 Ex-HLCX < ICG 3074 < nee IC 3074,Ex-HLCX < ICG 3074 < nee IC 3074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 4303 GP40 (EMD) 37193 3/71 Ex-CSX 6545 < nee B&O 3769,GP40 (EMD) 37193 3/71 Ex-CSX 6545 < nee B&O 3769,37193 3/71 Ex-CSX 6545 < nee B&O 3769,3/71 Ex-CSX 6545 < nee B&O 3769,Ex-CSX 6545 < nee B&O 3769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 4304 GP40 (EMD) 31797 6/66 Ex-SBD 6696 < SCL 1543 < nee SAL 628,GP40 (EMD) 31797 6/66 Ex-SBD 6696 < SCL 1543 < nee SAL 628,31797 6/66 Ex-SBD 6696 < SCL 1543 < nee SAL 628,6/66 Ex-SBD 6696 < SCL 1543 < nee SAL 628,Ex-SBD 6696 < SCL 1543 < nee SAL 628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 4305 GP40 (EMD) 38567 8/71 Ex-CSX 6842 < nee C&O 4087,GP40 (EMD) 38567 8/71 Ex-CSX 6842 < nee C&O 4087,38567 8/71 Ex-CSX 6842 < nee C&O 4087,8/71 Ex-CSX 6842 < nee C&O 4087,Ex-CSX 6842 < nee C&O 4087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5348, 5349 SD45u (EMD) 32562 12/66 Ex-ATSF SD45u 5348, 5349 < ATSF 5567, 5586 < nee ATSF SD45 1867, 1886","SD45u (EMD) 32562 12/66 Ex-ATSF SD45u 5348, 5349 < ATSF 5567, 5586 < nee ATSF SD45 1867, 1886","32562 12/66 Ex-ATSF SD45u 5348, 5349 < ATSF 5567, 5586 < nee ATSF SD45 1867, 1886","12/66 Ex-ATSF SD45u 5348, 5349 < ATSF 5567, 5586 < nee ATSF SD45 1867, 1886","Ex-ATSF SD45u 5348, 5349 < ATSF 5567, 5586 < nee ATSF SD45 1867, 1886",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5353, --, 5355 SD45u (EMD) 32540, --, 32524 12,--,11/66 Ex-ATSF SD45u 5353, --, 5355 < ATSF 5564, --, 5548 < nee ATSF SD45 1864, --, 1848","SD45u (EMD) 32540, --, 32524 12,--,11/66 Ex-ATSF SD45u 5353, --, 5355 < ATSF 5564, --, 5548 < nee ATSF SD45 1864, --, 1848","32540, --, 32524 12,--,11/66 Ex-ATSF SD45u 5353, --, 5355 < ATSF 5564, --, 5548 < nee ATSF SD45 1864, --, 1848","12,--,11/66 Ex-ATSF SD45u 5353, --, 5355 < ATSF 5564, --, 5548 < nee ATSF SD45 1864, --, 1848","Ex-ATSF SD45u 5353, --, 5355 < ATSF 5564, --, 5548 < nee ATSF SD45 1864, --, 1848",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5356-5358 SD45u (EMD) 32062, 32536, 32509 6, 11, 10/66 Ex-ATSF SD45u 5356-5358 < ATSF 5506, 5560, 5533 < nee ATSF SD45 1806, 1860, 1833","SD45u (EMD) 32062, 32536, 32509 6, 11, 10/66 Ex-ATSF SD45u 5356-5358 < ATSF 5506, 5560, 5533 < nee ATSF SD45 1806, 1860, 1833","32062, 32536, 32509 6, 11, 10/66 Ex-ATSF SD45u 5356-5358 < ATSF 5506, 5560, 5533 < nee ATSF SD45 1806, 1860, 1833","6, 11, 10/66 Ex-ATSF SD45u 5356-5358 < ATSF 5506, 5560, 5533 < nee ATSF SD45 1806, 1860, 1833","Ex-ATSF SD45u 5356-5358 < ATSF 5506, 5560, 5533 < nee ATSF SD45 1806, 1860, 1833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5359, --, 5361 SD45u (EMD) 32067 6/66 Ex-ATSF SD45u 5359,--, 5361 < ATSF 5543, --, 5511 < nee ATSF SD45 1843, --, 1811","SD45u (EMD) 32067 6/66 Ex-ATSF SD45u 5359,--, 5361 < ATSF 5543, --, 5511 < nee ATSF SD45 1843, --, 1811","32067 6/66 Ex-ATSF SD45u 5359,--, 5361 < ATSF 5543, --, 5511 < nee ATSF SD45 1843, --, 1811","6/66 Ex-ATSF SD45u 5359,--, 5361 < ATSF 5543, --, 5511 < nee ATSF SD45 1843, --, 1811","Ex-ATSF SD45u 5359,--, 5361 < ATSF 5543, --, 5511 < nee ATSF SD45 1843, --, 1811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 5364 SD45u (EMD) 32535 11/66 Ex-ATSF SD45u 5364 < ATSF 5559 < nee ATSF SD45 1859,SD45u (EMD) 32535 11/66 Ex-ATSF SD45u 5364 < ATSF 5559 < nee ATSF SD45 1859,32535 11/66 Ex-ATSF SD45u 5364 < ATSF 5559 < nee ATSF SD45 1859,11/66 Ex-ATSF SD45u 5364 < ATSF 5559 < nee ATSF SD45 1859,Ex-ATSF SD45u 5364 < ATSF 5559 < nee ATSF SD45 1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5365-5367 SD45u (EMD) 32512, 32508, 32534 10, 10, 11/66 Ex-ATSF SD45u 5365-5367 < ATSF 5536, 5532 & 5558 < nee ATSF SD45 1836, 1832 & 1858","SD45u (EMD) 32512, 32508, 32534 10, 10, 11/66 Ex-ATSF SD45u 5365-5367 < ATSF 5536, 5532 & 5558 < nee ATSF SD45 1836, 1832 & 1858","32512, 32508, 32534 10, 10, 11/66 Ex-ATSF SD45u 5365-5367 < ATSF 5536, 5532 & 5558 < nee ATSF SD45 1836, 1832 & 1858","10, 10, 11/66 Ex-ATSF SD45u 5365-5367 < ATSF 5536, 5532 & 5558 < nee ATSF SD45 1836, 1832 & 1858","Ex-ATSF SD45u 5365-5367 < ATSF 5536, 5532 & 5558 < nee ATSF SD45 1836, 1832 & 1858",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5368-5370 SD45u (EMD) 32531, 32083, 32082 11, 8, 8/66 Ex-ATSF SD45u 5368, 5369 & 5370 < ATSF 5555, 5527 & 5526 < nee ATSF SD45 1855, 1827 & 1826","SD45u (EMD) 32531, 32083, 32082 11, 8, 8/66 Ex-ATSF SD45u 5368, 5369 & 5370 < ATSF 5555, 5527 & 5526 < nee ATSF SD45 1855, 1827 & 1826","32531, 32083, 32082 11, 8, 8/66 Ex-ATSF SD45u 5368, 5369 & 5370 < ATSF 5555, 5527 & 5526 < nee ATSF SD45 1855, 1827 & 1826","11, 8, 8/66 Ex-ATSF SD45u 5368, 5369 & 5370 < ATSF 5555, 5527 & 5526 < nee ATSF SD45 1855, 1827 & 1826","Ex-ATSF SD45u 5368, 5369 & 5370 < ATSF 5555, 5527 & 5526 < nee ATSF SD45 1855, 1827 & 1826",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5371-5373 SD45u (EMD) 36495, 36497, 36500 6/70 Ex-ATSF SD45u 5371-5373 < nee ATSF SD45 5618, 5616 & 5621","SD45u (EMD) 36495, 36497, 36500 6/70 Ex-ATSF SD45u 5371-5373 < nee ATSF SD45 5618, 5616 & 5621","36495, 36497, 36500 6/70 Ex-ATSF SD45u 5371-5373 < nee ATSF SD45 5618, 5616 & 5621","6/70 Ex-ATSF SD45u 5371-5373 < nee ATSF SD45 5618, 5616 & 5621","Ex-ATSF SD45u 5371-5373 < nee ATSF SD45 5618, 5616 & 5621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MPEX 5374-5376 SD45u (EMD) 36499, 36491, 36493 7, 6, 6/70 Ex-ATSF SD45u 5374-5376 < nee ATSF SD45 5620, 5622 & 5624","SD45u (EMD) 36499, 36491, 36493 7, 6, 6/70 Ex-ATSF SD45u 5374-5376 < nee ATSF SD45 5620, 5622 & 5624","36499, 36491, 36493 7, 6, 6/70 Ex-ATSF SD45u 5374-5376 < nee ATSF SD45 5620, 5622 & 5624","7, 6, 6/70 Ex-ATSF SD45u 5374-5376 < nee ATSF SD45 5620, 5622 & 5624","Ex-ATSF SD45u 5374-5376 < nee ATSF SD45 5620, 5622 & 5624",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPEX 5377 SD45u (EMD) 32067 6/66 Ex-ATSF SD45u 5377 < nee ATSF SD45 5619,SD45u (EMD) 32067 6/66 Ex-ATSF SD45u 5377 < nee ATSF SD45 5619,32067 6/66 Ex-ATSF SD45u 5377 < nee ATSF SD45 5619,6/66 Ex-ATSF SD45u 5377 < nee ATSF SD45 5619,Ex-ATSF SD45u 5377 < nee ATSF SD45 5619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 5401 & 5402 C636 (Alco) 6008-01 & 02 11/68 Ex-Alco demonstrators 636-1 & 636-2,C636 (Alco) 6008-01 & 02 11/68 Ex-Alco demonstrators 636-1 & 636-2,6008-01 & 02 11/68 Ex-Alco demonstrators 636-1 & 636-2,11/68 Ex-Alco demonstrators 636-1 & 636-2,Ex-Alco demonstrators 636-1 & 636-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKCX 5403 C636 (Alco) 6008-03 11/68 Ex-Alco demonstrators 636-3,C636 (Alco) 6008-03 11/68 Ex-Alco demonstrators 636-3,6008-03 11/68 Ex-Alco demonstrators 636-3,11/68 Ex-Alco demonstrators 636-3,Ex-Alco demonstrators 636-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5525-5527 F45u (EMD) 34036, 34048, 34044 6/68 Scrapped; ex-ATSF F45u 5950, 5952 & 5958 < nee ATSF 1900, 1902 & 1908","F45u (EMD) 34036, 34048, 34044 6/68 Scrapped; ex-ATSF F45u 5950, 5952 & 5958 < nee ATSF 1900, 1902 & 1908","34036, 34048, 34044 6/68 Scrapped; ex-ATSF F45u 5950, 5952 & 5958 < nee ATSF 1900, 1902 & 1908","6/68 Scrapped; ex-ATSF F45u 5950, 5952 & 5958 < nee ATSF 1900, 1902 & 1908","Scrapped; ex-ATSF F45u 5950, 5952 & 5958 < nee ATSF 1900, 1902 & 1908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MKCX 5528 & 5529 F45u (EMD) 34068, 34054 6/68 Scrapped; ex-ATSF F45u 5962 & 5968 < ATSF 5912 & 5918 < nee ATSF 1912 & 1918","F45u (EMD) 34068, 34054 6/68 Scrapped; ex-ATSF F45u 5962 & 5968 < ATSF 5912 & 5918 < nee ATSF 1912 & 1918","34068, 34054 6/68 Scrapped; ex-ATSF F45u 5962 & 5968 < ATSF 5912 & 5918 < nee ATSF 1912 & 1918",6/68 Scrapped; ex-ATSF F45u 5962 & 5968 < ATSF 5912 & 5918 < nee ATSF 1912 & 1918,Scrapped; ex-ATSF F45u 5962 & 5968 < ATSF 5912 & 5918 < nee ATSF 1912 & 1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
