0,1,2,3
Road No.,Model (& Date),Bldr Nmbr,Notes
"3
GP20 (4/60)
EMD 25564
Ex-WAER 2003 < IHRC 303 < BN 2003 < nee GN 2003","GP20 (4/60)
EMD 25564
Ex-WAER 2003 < IHRC 303 < BN 2003 < nee GN 2003","EMD 25564
Ex-WAER 2003 < IHRC 303 < BN 2003 < nee GN 2003",Ex-WAER 2003 < IHRC 303 < BN 2003 < nee GN 2003
"13
SD9m (4/57)
EMD 23171
Ex-NS 56 < NS 2956 < N&W 2356 < nee NKP 356","SD9m (4/57)
EMD 23171
Ex-NS 56 < NS 2956 < N&W 2356 < nee NKP 356","EMD 23171
Ex-NS 56 < NS 2956 < N&W 2356 < nee NKP 356",Ex-NS 56 < NS 2956 < N&W 2356 < nee NKP 356
"23
SW9 (12/51)
EMD 15607
Ex-AZER 23 < Inspiration Copper 23 < nee Anaconda Copper 23","SW9 (12/51)
EMD 15607
Ex-AZER 23 < Inspiration Copper 23 < nee Anaconda Copper 23","EMD 15607
Ex-AZER 23 < Inspiration Copper 23 < nee Anaconda Copper 23",Ex-AZER 23 < Inspiration Copper 23 < nee Anaconda Copper 23
"82
SW1200 (8/65)
EMD 30514
Ex-CSX 1301 < nee RF&P 82; leased to the Rogue River Valley Terminal Rwy in Oregon","SW1200 (8/65)
EMD 30514
Ex-CSX 1301 < nee RF&P 82; leased to the Rogue River Valley Terminal Rwy in Oregon","EMD 30514
Ex-CSX 1301 < nee RF&P 82; leased to the Rogue River Valley Terminal Rwy in Oregon",Ex-CSX 1301 < nee RF&P 82; leased to the Rogue River Valley Terminal Rwy in Oregon
"120
SW900 (4/59)
EMD 23451
Blt from Rock Island SW #517 (???)","SW900 (4/59)
EMD 23451
Blt from Rock Island SW #517 (???)","EMD 23451
Blt from Rock Island SW #517 (???)",Blt from Rock Island SW #517 (???)
"149
SW9
EMD 13297
Ex-GN","SW9
EMD 13297
Ex-GN","EMD 13297
Ex-GN",Ex-GN
"165
SW1200
EMD 22484
Ex-GN","SW1200
EMD 22484
Ex-GN","EMD 22484
Ex-GN",Ex-GN
"201 & 205
SD38AC
EMD 37069, 37073
Ex-DMIR","SD38AC
EMD 37069, 37073
Ex-DMIR","EMD 37069, 37073
Ex-DMIR",Ex-DMIR
"251
GP35
EMD 29224
Ex-Indiana Southern 251 < ex-I&O 251 < NS 224 < nee N&W 224","GP35
EMD 29224
Ex-Indiana Southern 251 < ex-I&O 251 < NS 224 < nee N&W 224","EMD 29224
Ex-Indiana Southern 251 < ex-I&O 251 < NS 224 < nee N&W 224",Ex-Indiana Southern 251 < ex-I&O 251 < NS 224 < nee N&W 224
"311
65-Tonner
GE
On lease to Inland Empire Paper in Washhington","65-Tonner
GE
On lease to Inland Empire Paper in Washhington","GE
On lease to Inland Empire Paper in Washhington",On lease to Inland Empire Paper in Washhington
"315
F40PH (1979)
EMD 777107-6
Ex-Amtrak #315","F40PH (1979)
EMD 777107-6
Ex-Amtrak #315","EMD 777107-6
Ex-Amtrak #315",Ex-Amtrak #315
"316 & 318
GP16
EMD 12296, 25313
Ex-Clinchfield 4603 and Milwaukee Road","GP16
EMD 12296, 25313
Ex-Clinchfield 4603 and Milwaukee Road","EMD 12296, 25313
Ex-Clinchfield 4603 and Milwaukee Road",Ex-Clinchfield 4603 and Milwaukee Road
"401
SW1200
EMD ??
Ex-??","SW1200
EMD ??
Ex-??","EMD ??
Ex-??",Ex-??
"439
SD9
EMD ??
Ex-Columbia Basin 439 < Livingston Mountain Loco Works < Tacoma Easter < nee SP 4439","SD9
EMD ??
Ex-Columbia Basin 439 < Livingston Mountain Loco Works < Tacoma Easter < nee SP 4439","EMD ??
Ex-Columbia Basin 439 < Livingston Mountain Loco Works < Tacoma Easter < nee SP 4439",Ex-Columbia Basin 439 < Livingston Mountain Loco Works < Tacoma Easter < nee SP 4439
"562 & 566
SW1200
EMD 18097, 25225
Ex-ATSF","SW1200
EMD 18097, 25225
Ex-ATSF","EMD 18097, 25225
Ex-ATSF",Ex-ATSF
"650 & 651
SD9 (3/58, 3/57)
EMD 23932 & 23118
Ex-Modoc Northern 650 & 651 < Birmingham Southern 650 & 651 <  nee DMIR 152 & 130","SD9 (3/58, 3/57)
EMD 23932 & 23118
Ex-Modoc Northern 650 & 651 < Birmingham Southern 650 & 651 <  nee DMIR 152 & 130","EMD 23932 & 23118
Ex-Modoc Northern 650 & 651 < Birmingham Southern 650 & 651 <  nee DMIR 152 & 130",Ex-Modoc Northern 650 & 651 < Birmingham Southern 650 & 651 <  nee DMIR 152 & 130
"1229
SD18m
EMD 26657
Ex-RSMX","SD18m
EMD 26657
Ex-RSMX","EMD 26657
Ex-RSMX",Ex-RSMX
"1270
SW9
EMD 12546
Ex-MP","SW9
EMD 12546
Ex-MP","EMD 12546
Ex-MP",Ex-MP
"1400
GP7r
EMD 11047
Ex-GN","GP7r
EMD 11047
Ex-GN","EMD 11047
Ex-GN",Ex-GN
"1407
GMD1
GMD A1762
Ex-CN 14197 < nee CN 1065","GMD1
GMD A1762
Ex-CN 14197 < nee CN 1065","GMD A1762
Ex-CN 14197 < nee CN 1065",Ex-CN 14197 < nee CN 1065
"1415 & 1441
GMD1
GMD A1442 & A1701
Ex-CN 1415 & 1441 < nee CN 1022 & 1038","GMD1
GMD A1442 & A1701
Ex-CN 1415 & 1441 < nee CN 1022 & 1038","GMD A1442 & A1701
Ex-CN 1415 & 1441 < nee CN 1022 & 1038",Ex-CN 1415 & 1441 < nee CN 1022 & 1038
"1500
SW1500 (7/72)
EMD 4608-73
Ex-Catalyst Paper 1501 < Fletcher Challenger Canada 1500 < nee Southern Pacific 2663","SW1500 (7/72)
EMD 4608-73
Ex-Catalyst Paper 1501 < Fletcher Challenger Canada 1500 < nee Southern Pacific 2663","EMD 4608-73
Ex-Catalyst Paper 1501 < Fletcher Challenger Canada 1500 < nee Southern Pacific 2663",Ex-Catalyst Paper 1501 < Fletcher Challenger Canada 1500 < nee Southern Pacific 2663
"1616
SW1500
EMD 20315
Ex-NP","SW1500
EMD 20315
Ex-NP","EMD 20315
Ex-NP",Ex-NP
"1617
SW1500
EMD 20315
Ex-GWR 1617 < BN 1617 <  nee CBQ 251; to LCR 1617","SW1500
EMD 20315
Ex-GWR 1617 < BN 1617 <  nee CBQ 251; to LCR 1617","EMD 20315
Ex-GWR 1617 < BN 1617 <  nee CBQ 251; to LCR 1617",Ex-GWR 1617 < BN 1617 <  nee CBQ 251; to LCR 1617
"1761
GP9
EMD 19110
Ex-?","GP9
EMD 19110
Ex-?","EMD 19110
Ex-?",Ex-?
"1807
B40-8 (8/87)
GE 45516
Ex-UP 1807 & 1847 < UP 5616 < nee SP 8007 & 8047","B40-8 (8/87)
GE 45516
Ex-UP 1807 & 1847 < UP 5616 < nee SP 8007 & 8047","GE 45516
Ex-UP 1807 & 1847 < UP 5616 < nee SP 8007 & 8047",Ex-UP 1807 & 1847 < UP 5616 < nee SP 8007 & 8047
"1847
B40-8 (8/88)
GE 45695
Ex-UP 1847 < nee SSW 8047","B40-8 (8/88)
GE 45695
Ex-UP 1847 < nee SSW 8047","GE 45695
Ex-UP 1847 < nee SSW 8047",Ex-UP 1847 < nee SSW 8047
"2253
GP30
EMD 28314
Ex-CNW","GP30
EMD 28314
Ex-CNW","EMD 28314
Ex-CNW",Ex-CNW
"2302 & 2390
SD60M
--
Sold to Southwestern","SD60M
--
Sold to Southwestern","--
Sold to Southwestern",Sold to Southwestern
"2494
SD60M
--
Sold to Southwestern","SD60M
--
Sold to Southwestern","--
Sold to Southwestern",Sold to Southwestern
"2676
GP30
EMD 29931
Ex-Southern","GP30
EMD 29931
Ex-Southern","EMD 29931
Ex-Southern",Ex-Southern
"2795
GP38
EMD 36043
Ex-Southern","GP38
EMD 36043
Ex-Southern","EMD 36043
Ex-Southern",Ex-Southern
"2891 
SD40T-2
EMD 756046-7
Ex-UP","SD40T-2
EMD 756046-7
Ex-UP","EMD 756046-7
Ex-UP",Ex-UP
"2940
SD38-2 (6/80)
EMD 786265-45
Ex-UP SD40T-2 2940 < UP 4593 < nee SP 8274; may have been sold or leased","SD38-2 (6/80)
EMD 786265-45
Ex-UP SD40T-2 2940 < UP 4593 < nee SP 8274; may have been sold or leased","EMD 786265-45
Ex-UP SD40T-2 2940 < UP 4593 < nee SP 8274; may have been sold or leased",Ex-UP SD40T-2 2940 < UP 4593 < nee SP 8274; may have been sold or leased
"3000
SD40-2 (2/72)
EMD 7334-42
Ex-LTE < nee UP 3164","SD40-2 (2/72)
EMD 7334-42
Ex-LTE < nee UP 3164","EMD 7334-42
Ex-LTE < nee UP 3164",Ex-LTE < nee UP 3164
"3028
GP30 (2/63)
EMD 28057
Ex-OMLX 3028 < nee DRGW 3028","GP30 (2/63)
EMD 28057
Ex-OMLX 3028 < nee DRGW 3028","EMD 28057
Ex-OMLX 3028 < nee DRGW 3028",Ex-OMLX 3028 < nee DRGW 3028
"3043
GP20U
EMD 
Ex-DMVW < nee ATSF GP20U","GP20U
EMD 
Ex-DMVW < nee ATSF GP20U","EMD 
Ex-DMVW < nee ATSF GP20U",Ex-DMVW < nee ATSF GP20U
"3149 
GP40 (9/68)
EMD 34340
Ex-DRGW 3163 < CR 3163 < nee PC 3163","GP40 (9/68)
EMD 34340
Ex-DRGW 3163 < CR 3163 < nee PC 3163","EMD 34340
Ex-DRGW 3163 < CR 3163 < nee PC 3163",Ex-DRGW 3163 < CR 3163 < nee PC 3163
"3186
GP9 (6/54)
EMD 19564
Ex-SJVR 3186 < SP 3186 < SP 3003 < nee SP 5603","GP9 (6/54)
EMD 19564
Ex-SJVR 3186 < SP 3186 < SP 3003 < nee SP 5603","EMD 19564
Ex-SJVR 3186 < SP 3186 < SP 3003 < nee SP 5603",Ex-SJVR 3186 < SP 3186 < SP 3003 < nee SP 5603
"3312
SD40-2
EMD 767021-8
Ex-?","SD40-2
EMD 767021-8
Ex-?","EMD 767021-8
Ex-?",Ex-?
"3503
GP35 (4/65)
EMD 30141
Ex-ASRY 40 < SP 6531 < nee SP 7734","GP35 (4/65)
EMD 30141
Ex-ASRY 40 < SP 6531 < nee SP 7734","EMD 30141
Ex-ASRY 40 < SP 6531 < nee SP 7734",Ex-ASRY 40 < SP 6531 < nee SP 7734
"3507
GP35 - 8/65
EMD 30173
Ex-NPR 3507 < WSOR 6661 < OHCR 6661 < SP 6661 < nee SP 7764","GP35 - 8/65
EMD 30173
Ex-NPR 3507 < WSOR 6661 < OHCR 6661 < SP 6661 < nee SP 7764","EMD 30173
Ex-NPR 3507 < WSOR 6661 < OHCR 6661 < SP 6661 < nee SP 7764",Ex-NPR 3507 < WSOR 6661 < OHCR 6661 < SP 6661 < nee SP 7764
"3509
GP39-2 - 8/65
EMD 30173
Ex-NPR 3509 < nee SOO 731","GP39-2 - 8/65
EMD 30173
Ex-NPR 3509 < nee SOO 731","EMD 30173
Ex-NPR 3509 < nee SOO 731",Ex-NPR 3509 < nee SOO 731
"3511
GP35
EMD 29223
Ex-UP","GP35
EMD 29223
Ex-UP","EMD 29223
Ex-UP",Ex-UP
"3529 
SW1200
EMD 24041
Ex-NP","SW1200
EMD 24041
Ex-NP","EMD 24041
Ex-NP",Ex-NP
"4404
SD9
EMD --
Sold to POVA; ex-SP 4404 < SP 3906 < nee SP 5428)","SD9
EMD --
Sold to POVA; ex-SP 4404 < SP 3906 < nee SP 5428)","EMD --
Sold to POVA; ex-SP 4404 < SP 3906 < nee SP 5428)",Sold to POVA; ex-SP 4404 < SP 3906 < nee SP 5428)
"4540 
GP9
EMD 23555
Ex-CNW","GP9
EMD 23555
Ex-CNW","EMD 23555
Ex-CNW",Ex-CNW
"7216
GP9R
GMD - 12/57 
Ex-CN 4579","GP9R
GMD - 12/57 
Ex-CN 4579","GMD - 12/57 
Ex-CN 4579",Ex-CN 4579
"8305
GP10
EMD 20800, 20763
Ex-IC","GP10
EMD 20800, 20763
Ex-IC","EMD 20800, 20763
Ex-IC",Ex-IC
"8319
GP9 (2/55)
EMD 20143
ex-WRIX 3378 < SP 3378 < SP 3455 < nee SP 5618","GP9 (2/55)
EMD 20143
ex-WRIX 3378 < SP 3378 < SP 3455 < nee SP 5618","EMD 20143
ex-WRIX 3378 < SP 3378 < SP 3455 < nee SP 5618",ex-WRIX 3378 < SP 3378 < SP 3455 < nee SP 5618
"8347
SDW1200
EMD 16402
Ex-IC","SDW1200
EMD 16402
Ex-IC","EMD 16402
Ex-IC",Ex-IC
"8702
SD40T-2
EMD 776076-4
Ex-?","SD40T-2
EMD 776076-4
Ex-?","EMD 776076-4
Ex-?",Ex-?
"9421
GP40-2LW
GMD A2999
Ex-CN","GP40-2LW
GMD A2999
Ex-CN","GMD A2999
Ex-CN",Ex-CN
"35021, 35022
SD40T-2
EMD ??
Ex-UPRR 2944 & 2934 < nee SP 8286 & DRGW 5411","SD40T-2
EMD ??
Ex-UPRR 2944 & 2934 < nee SP 8286 & DRGW 5411","EMD ??
Ex-UPRR 2944 & 2934 < nee SP 8286 & DRGW 5411",Ex-UPRR 2944 & 2934 < nee SP 8286 & DRGW 5411
"Dispositions:

324 --- ex-DMVW 324 < nee C&NW 837 (EMD GP35M s/n 28792); sold to WAMX 3534
3001 -- ex-Utah Southern < nee UP 3164 (EMD SD40-2 5819-16); sold to WAMX 4205
3026 -- ex-DRGW 3026 (EMD GP30 28055); scrapped in 2012
6323 -- ex-SP GP35E (EMD 28491); sold to WAMX 3535


Thanks to the following people for additions / corrections: Ted Curphey, Mark Gillings (via LocoNotes), 
Tom Keeping, Bruce Mercer (LocoNotes), Charles Nelson (LocoNotes), R. Craig, trainweb.org and UtahRails.net.",,,
